Periodo	matriculaciones
01-2003	98424
02-2003	105769
03-2003	129118
04-2003	129003
05-2003	128330
06-2003	147037
07-2003	173071
08-2003	90285
09-2003	101615
10-2003	132595
11-2003	120524
12-2003	136795
01-2004	108817
02-2004	130625
03-2004	166062
04-2004	136515
05-2004	142295
06-2004	170875
07-2004	181139
08-2004	98512
09-2004	108920
10-2004	130883
11-2004	136870
12-2004	142276
01-2005	115394
02-2005	130875
03-2005	162060
04-2005	146985
05-2005	153558
06-2005	173663
07-2005	175896
08-2005	107723
09-2005	114825
10-2005	119666
11-2005	132625
12-2005	143423
01-2006	115493
02-2006	128836
03-2006	176081
04-2006	131631
05-2006	155805
06-2006	171032
07-2006	169034
08-2006	105189
09-2006	107511
10-2006	128178
11-2006	135142
12-2006	136723
01-2007	125985
02-2007	123327
03-2007	175327
04-2007	123825
05-2007	155402
06-2007	167880
07-2007	168613
08-2007	100791
09-2007	98670
10-2007	130446
11-2007	125388
12-2007	138140
01-2008	104953
02-2008	124836
03-2008	126357
04-2008	125522
05-2008	118085
06-2008	116649
07-2008	123958
08-2008	60737
09-2008	67365
10-2008	79686
11-2008	64345
12-2008	72760
01-2009	60662
02-2009	63297
03-2009	77102
04-2009	67828
05-2009	72303
06-2009	98296
07-2009	110678
08-2009	60398
09-2009	79323
10-2009	100733
11-2009	88485
12-2009	92085
01-2010	71260
02-2010	93070
03-2010	126654
04-2010	95415
05-2010	104497
06-2010	122610
07-2010	83840
08-2010	46572
09-2010	57875
10-2010	62592
11-2010	65706
12-2010	69964
01-2011	54416
02-2011	67028
03-2011	88947
04-2011	72413
05-2011	79317
06-2011	84004
07-2011	79591
08-2011	48262
09-2011	56326
10-2011	58366
11-2011	52734
12-2011	66886
01-2012	55447
02-2012	65202
03-2012	85059
04-2012	56859
05-2012	73520
06-2012	74191
07-2012	66249
08-2012	50351
09-2012	36309
10-2012	46178
11-2012	49157
12-2012	52044
01-2013	50753
02-2013	59438
03-2013	73904
04-2013	63753
05-2013	71887
06-2013	74479
07-2013	77436
08-2013	41700
09-2013	47069
10-2013	62326
11-2013	57237
12-2013	62323
01-2014	55298
02-2014	71090
03-2014	82068
04-2014	82502
05-2014	85015
06-2014	92668
07-2014	86884
08-2014	48539
09-2014	60222
10-2014	80156
11-2014	68559
12-2014	77124
01-2015	71280
02-2015	90517
03-2015	116336
04-2015	86779
05-2015	98265
06-2015	116042
07-2015	108646
08-2015	60733
09-2015	76601
10-2015	86664
11-2015	87521
12-2015	94614
01-2016	81716
02-2016	104006
03-2016	119302
04-2016	107444
05-2016	120060
06-2016	131759
07-2016	114862
08-2016	69985
09-2016	86478
10-2016	90041
11-2016	99985
12-2016	104419
01-2017	91897
02-2017	106556
03-2017	135459
04-2017	109396
05-2017	136168
06-2017	141251
07-2017	119773
08-2017	80582
09-2017	91471
10-2017	103840
11-2017	113812
12-2017	111422
01-2018	109282
02-2018	119594
03-2018	137820
04-2018	125642
05-2018	145122
06-2018	151747
07-2018	139406
08-2018	114999
09-2018	76247
10-2018	97114
11-2018	100130
12-2018	106941
01-2019	102556
02-2019	109343
03-2019	133405
04-2019	130254
05-2019	137091
06-2019	140445
07-2019	127485
08-2019	82549
09-2019	90307
10-2019	105084
11-2019	102905
12-2019	114131
01-2020	95041
02-2020	104396
03-2020	41826
04-2020	4764
05-2020	36683
06-2020	90596
07-2020	127844
08-2020	74777
09-2020	79365
10-2020	83745
11-2020	84472
12-2020	115580
01-2021	47339
02-2021	64843
03-2021	94013
04-2021	85674
05-2021	103086
06-2021	103467
07-2021	92171
08-2021	54561
09-2021	67792
10-2021	67899
11-2021	76529
12-2021	96289
01-2022	49787
02-2022	70396
03-2022	69911


